claim,evidence,label,category,trust_weight
"Facebook sells your personal data directly to advertisers","Facebook does not sell user data directly; it uses that data internally to target ads on behalf of advertisers.",FALSE,Technology,0.85
"Wearing masks reduces COVID-19 transmission","Multiple studies and meta-analyses found that mask use, particularly N95/FFP2 respirators, reduces transmission of respiratory viruses including SARS-CoV-2.",TRUE,Health,0.88
"Homeopathy is scientifically effective","Systematic reviews and meta-analyses consistently find homeopathic treatments perform no better than placebo.",FALSE,Health,0.96
"China is the world's largest carbon emitter","IEA and Global Carbon Project data confirm China emits the most CO2 annually of any single country.",TRUE,Science,0.94
"Marijuana is a gateway drug","Research shows correlation between marijuana use and use of other substances, but causal gateway effect evidence is weak and disputed among researchers.",UNCERTAIN,Health,0.60
"The US healthcare system has the best outcomes globally","WHO and OECD data show the US ranks poorly on many health outcome metrics despite highest per-capita spending.",FALSE,Health,0.90
"Hackers can access any computer remotely","While sophisticated cyber attacks are real, accessing any arbitrary computer remotely requires exploiting specific vulnerabilities, not universal capability.",FALSE,Technology,0.85
"Ransomware attacks on hospitals have increased","Cybersecurity firms including Mandiant and Recorded Future documented significant increases in ransomware attacks targeting healthcare infrastructure.",TRUE,Cybersecurity,0.93
"Phishing is the most common cyberattack vector","Verizon Data Breach Investigations Report consistently lists phishing as the top initial access vector across industries.",TRUE,Cybersecurity,0.94
"Zero-day vulnerabilities are sold on the dark web","Law enforcement agencies and cybersecurity researchers have documented markets for zero-day exploits operating on both dark web and gray market platforms.",TRUE,Cybersecurity,0.91
"Antivirus software provides complete protection","Security researchers universally state that no single tool provides complete protection; layered security approaches are necessary.",FALSE,Cybersecurity,0.92
"Two-factor authentication prevents all account breaches","While 2FA significantly reduces account compromise risk, sophisticated attacks including SIM swapping and man-in-the-middle attacks can bypass some 2FA methods.",FALSE,Cybersecurity,0.88
"Open source software is more secure than proprietary software","Security research shows neither model is inherently more secure; both have significant vulnerability histories. Open source benefits from community review.",UNCERTAIN,Technology,0.65
"China-linked hackers conduct state-sponsored espionage","US intelligence agencies and cybersecurity firms including Mandiant have extensively documented APT groups linked to Chinese state interests.",TRUE,Cybersecurity,0.91
"Quantum computing will break all encryption","Quantum computers could theoretically break certain encryption schemes, but current quantum computers lack sufficient stable qubits for this. Post-quantum cryptography is being developed.",UNCERTAIN,Technology,0.70
"Data breaches expose billions of records annually","ITRC and IBM Cost of a Data Breach reports document billions of records exposed annually across thousands of incidents.",TRUE,Cybersecurity,0.94
"VPNs make you completely anonymous online","VPNs encrypt traffic and mask IP addresses but do not provide complete anonymity; VPN providers may log activity and users can still be identified through other means.",FALSE,Cybersecurity,0.90
"IoT devices are frequently compromised in botnets","Mirai botnet and subsequent campaigns demonstrated mass compromise of IoT devices. CISA regularly issues advisories on IoT security vulnerabilities.",TRUE,Cybersecurity,0.93
"Inflation hit a 40-year high in the US in 2022","US Bureau of Labor Statistics data confirmed CPI inflation reached 9.1% in June 2022, the highest rate since 1981.",TRUE,Finance,0.96
"The stock market always recovers from crashes","Historical S&P 500 data shows the index has recovered from every major crash over long time horizons, though recovery timelines vary significantly.",TRUE,Finance,0.82
"Cryptocurrency is primarily used for crime","Chainalysis blockchain analytics data shows illicit activity represents a small percentage of total crypto transaction volume.",FALSE,Finance,0.88
"Interest rate hikes always cause recessions","While rate hikes can slow economic growth, the relationship is not deterministic. Some tightening cycles have resulted in soft landings.",UNCERTAIN,Finance,0.65
"The Federal Reserve is a private entity","The Federal Reserve System has both public and private elements; regional Fed banks are owned by member banks but the Board of Governors is a federal agency.",UNCERTAIN,Finance,0.70
"Investing in index funds outperforms most active funds","Multiple studies including Morningstar's SPIVA scorecard consistently show majority of active funds underperform their benchmark index over long periods.",TRUE,Finance,0.92
"Gold is a reliable hedge against inflation","Historical data shows gold's correlation with inflation is inconsistent; it has performed well in some inflationary periods but not others.",UNCERTAIN,Finance,0.62
"Student loan debt exceeds one trillion dollars in the US","Federal Reserve data confirms US student loan debt surpassed $1.7 trillion.",TRUE,Finance,0.96
"The housing market will crash 50% soon","No credible economic institution has issued such a forecast. Housing market predictions are inherently uncertain and depend on many variables.",FALSE,Finance,0.80
"Payday loans trap borrowers in debt cycles","Consumer Financial Protection Bureau research found a majority of payday loan volume comes from borrowers who rollover loans repeatedly.",TRUE,Finance,0.90
"Universal basic income eliminates the incentive to work","Pilot programs in Finland, Kenya, and Stockton California showed mixed results on work incentives, with many participants continuing to work.",FALSE,Finance,0.78
"China is buying all US farmland","Foreign ownership of US agricultural land including Chinese entities represents a small fraction of total farmland. USDA data confirms this.",FALSE,Politics,0.88
"Voter ID laws disproportionately affect minorities","Research from the Government Accountability Office and academic institutions found voter ID requirements have differential impacts on minority voter participation.",TRUE,Elections,0.83
"Mail-in voting is susceptible to widespread fraud","Studies of mail voting in states with long histories of all-mail elections found fraud rates are extremely low, typically less than 0.0025%.",FALSE,Elections,0.92
"Gerrymandering distorts electoral outcomes","Academic research including work by political scientists at Princeton confirms partisan gerrymandering significantly affects electoral map fairness.",TRUE,Elections,0.91
"Citizens United allows unlimited dark money in politics","The Supreme Court Citizens United decision opened pathways for unlimited independent expenditures, though direct candidate contributions remain limited.",TRUE,Elections,0.89
"Foreign governments interfere in US elections","US intelligence community assessments have documented Russian, Iranian, and Chinese interference activities targeting US elections.",TRUE,Elections,0.93
"Early voting increases voter turnout","Research on early voting effects on turnout shows mixed results; some studies find modest positive effects while others find minimal impact.",UNCERTAIN,Elections,0.65
"Electronic voting machines have been hacked","DEFCON Voting Village has demonstrated vulnerabilities in voting machine software. However, documented cases of actual election outcome alteration via hacking are rare.",UNCERTAIN,Cybersecurity,0.68
"Social media platforms censor conservative voices","Studies including from NYU Center for Business and Human Rights found conservative content among the most engaged on Facebook, challenging systematic censorship claims.",FALSE,Social Media,0.75
"Online misinformation spreads faster than truth","MIT Media Lab study in Science journal found false news spreads faster and more broadly than true news on social media platforms.",TRUE,Social Media,0.95
"Facebook knew about teen mental health harms","Leaked Facebook internal research documents published by WSJ showed the company had conducted research on Instagram's negative effects on teenage girls.",TRUE,Social Media,0.90
"Twitter bots amplify political disinformation","Research from Oxford Internet Institute and Stanford Internet Observatory documented inauthentic bot networks amplifying political content on Twitter.",TRUE,Social Media,0.92
"TikTok collects excessive user data","FTC and multiple cybersecurity analyses have found TikTok collects extensive device and usage data, and ByteDance's relationship with Chinese authorities raises concerns.",TRUE,Technology,0.84
"YouTube's algorithm radicalizes viewers","Researchers including Amin Hosseini and others have found evidence of YouTube's recommendation algorithm leading viewers toward increasingly extreme content.",TRUE,Social Media,0.82
"Instagram filters harm body image","Psychological research published in peer-reviewed journals has found exposure to filtered and idealized images on social media correlates with body dissatisfaction.",TRUE,Social Media,0.86
"Deepfake technology makes video evidence unreliable","AI-generated synthetic media has advanced to where visual artifacts are difficult to detect, prompting development of forensic detection tools.",TRUE,Technology,0.91
"Elon Musk bought Twitter to influence elections","Musk has stated his motivations relate to free speech. His actual motivations are subject to interpretation; direct evidence of election influence intent is limited.",UNCERTAIN,Social Media,0.55
"Social media platforms are regulated like publishers","In the US, Section 230 gives platforms liability protections beyond traditional publisher status. The legal classification is actively debated.",UNCERTAIN,Politics,0.62
"Online harassment is predominantly directed at women","Pew Research Center studies consistently find women experience certain forms of online harassment including sexual harassment at higher rates than men.",TRUE,Social Media,0.88
"Climate scientists face death threats for their work","Documented cases show climate researchers have received threats and harassment campaigns. Major scientific bodies have addressed researcher safety concerns.",TRUE,Science,0.87
"Arctic sea ice is declining","NASA and NSIDC satellite data confirm long-term decline in Arctic sea ice extent and thickness.",TRUE,Science,0.97
"Plastic pollution threatens marine ecosystems","Scientific studies document widespread microplastic contamination in marine environments and documented impacts on marine organisms.",TRUE,Science,0.95
"Wind turbines cause bird deaths","Wind turbines do kill birds, but studies show cats, buildings, and vehicles kill far more birds than turbines annually.",UNCERTAIN,Science,0.70
"Scientists are paid to support climate change","Climate researchers receive grants based on research quality, not conclusions. No credible evidence of coordinated payment for specific conclusions exists.",FALSE,Science,0.96
"Deforestation contributes to climate change","Scientific consensus confirms forest loss reduces carbon sequestration capacity and increases atmospheric CO2 concentration.",TRUE,Science,0.97
"Ocean acidification threatens coral reefs","NOAA and peer-reviewed research documents increasing ocean acidity and its destructive effects on coral calcification.",TRUE,Science,0.95
"Biodiversity is declining at unprecedented rates","UN IPBES Global Assessment found species extinction rates are accelerating, with approximately one million species threatened.",TRUE,Science,0.96
"Lab-grown meat is environmentally superior to beef","Life cycle analyses show cultivated meat has significantly lower land use but energy consumption comparisons are complex and depend on electricity source.",UNCERTAIN,Science,0.68
"Intermittent fasting improves metabolic health","Multiple randomized controlled trials show intermittent fasting produces comparable weight loss and metabolic improvements to continuous calorie restriction.",TRUE,Health,0.83
"Coffee reduces risk of type 2 diabetes","Multiple prospective cohort studies found inverse associations between coffee consumption and type 2 diabetes risk.",TRUE,Health,0.80
"Sitting is the new smoking","While prolonged sedentary behavior is associated with health risks, comparisons to smoking in terms of mortality risk are not supported by direct epidemiological equivalence.",UNCERTAIN,Health,0.62
"Meditation reduces anxiety","Systematic reviews and meta-analyses of randomized trials show mindfulness meditation produces significant reductions in anxiety symptoms.",TRUE,Health,0.89
"Sunscreen causes vitamin D deficiency","While sunscreen reduces vitamin D synthesis, typical usage does not completely block synthesis and most people can obtain vitamin D through diet and limited sun exposure.",FALSE,Health,0.82
"Antibiotics are ineffective against viruses","Antibiotics target bacterial cell structures and processes and have no mechanism of action against viral infections.",TRUE,Health,0.99
"Antibiotic resistance is a global health crisis","WHO and CDC classify antimicrobial resistance as one of the most urgent global health threats, with drug-resistant infections causing hundreds of thousands of deaths annually.",TRUE,Health,0.97
"Sleep deprivation impairs cognitive function","Extensive laboratory research demonstrates sleep restriction significantly impairs attention, working memory, reaction time, and decision-making.",TRUE,Health,0.98
"Exercise reduces risk of cardiovascular disease","Decades of epidemiological research and clinical trials confirm regular physical activity significantly reduces cardiovascular disease risk.",TRUE,Health,0.99
"Ultra-processed foods are associated with poor health outcomes","Multiple large cohort studies associate high ultra-processed food consumption with increased risk of obesity, cardiovascular disease, and mortality.",TRUE,Health,0.92
"E-cigarettes are safer than traditional cigarettes","While e-cigarettes appear to expose users to fewer harmful chemicals than combustible cigarettes, they are not without health risks, particularly for youth.",UNCERTAIN,Health,0.65
"Autism rates are increasing","Reported autism diagnosis rates have increased significantly, though researchers attribute much of this to expanded diagnostic criteria and increased awareness.",UNCERTAIN,Health,0.65
"Reading improves cognitive function","Longitudinal research finds regular reading associated with larger vocabulary, improved comprehension, and cognitive preservation in aging.",TRUE,Education,0.87
"College education guarantees higher earnings","Statistical data shows college graduates earn more on average, but outcomes vary significantly by field, institution, and individual circumstances.",UNCERTAIN,Education,0.70
"Student performance is declining in developed nations","PISA international assessment data shows mixed trends; some countries show declines while others show improvements in student performance.",UNCERTAIN,Education,0.60
"Private schools outperform public schools","Research controlling for socioeconomic factors shows smaller or no performance gaps between private and public schools than raw score comparisons suggest.",UNCERTAIN,Education,0.62
"Early childhood education has lifelong benefits","Longitudinal studies including the HighScope Perry Preschool Study found early quality education produced positive lifetime outcomes in education, employment, and reduced crime.",TRUE,Education,0.91
"Teachers are underpaid in the United States","Bureau of Labor Statistics data and economic research suggests teacher compensation relative to comparable professions has declined over several decades.",TRUE,Education,0.83
"Online learning is as effective as in-person education","Research shows online learning effectiveness varies significantly by subject, student characteristics, and program quality. Direct equivalence is not established.",UNCERTAIN,Education,0.62
"Critical race theory is being taught in K-12 schools","CRT is a graduate-level legal framework. Most K-12 diversity curricula involve age-appropriate history rather than formal CRT.",FALSE,Education,0.78
"School voucher programs improve educational outcomes","Research on voucher programs shows mixed results; some studies find modest gains while others find neutral or negative effects on academic achievement.",UNCERTAIN,Education,0.62
"Libraries are facing budget cuts across the US","ALA annual surveys document widespread library budget reductions affecting staffing, hours, and collections.",TRUE,Education,0.88
"Gene editing with CRISPR could cure genetic diseases","Multiple clinical trials using CRISPR-based therapies have shown promising results for sickle cell disease and other genetic conditions.",TRUE,Science,0.89
"Space exploration benefits everyday life","Technologies developed for space programs have produced numerous practical applications including GPS, satellite weather, and many medical devices.",TRUE,Science,0.91
"Nuclear fusion is nearly commercially viable","While fusion research has made significant progress including NIF ignition milestone, commercial fusion power remains at least a decade or more away.",UNCERTAIN,Science,0.68
"Microplastics have been found in human blood","A 2022 study published in Environment International confirmed detection of microplastic particles in human blood samples.",TRUE,Science,0.92
"PFAS chemicals are widespread environmental contaminants","EPA and academic research confirm PFAS contamination in water supplies, soil, and human blood across the United States and globally.",TRUE,Science,0.94
"Antibiotic-resistant superbugs are emerging","CDC and WHO document emergence of pathogens resistant to multiple antibiotics, with some strains showing resistance to all available treatments.",TRUE,Health,0.97
"Telehealth improves healthcare access","Studies on telehealth adoption during and after COVID-19 found increased healthcare utilization particularly in rural and underserved areas.",TRUE,Health,0.86
"US healthcare costs are the highest globally","OECD data consistently shows the US spends more per capita on healthcare than any other developed nation.",TRUE,Health,0.97
"Mental health conditions are undertreated worldwide","WHO estimates more than 75% of people with mental disorders in low and middle income countries receive no treatment.",TRUE,Health,0.95
"Loneliness is a public health crisis","US Surgeon General issued an advisory declaring loneliness and isolation epidemic and citing significant health impacts comparable to smoking.",TRUE,Health,0.91
"AI bias perpetuates racial discrimination","Research including ProPublica's COMPAS analysis and MIT Media Lab's Gender Shades project documented racial and gender bias in AI systems.",TRUE,Technology,0.90
"Autonomous vehicles will eliminate traffic deaths","While AVs could reduce some human error-related accidents, achieving zero traffic deaths via autonomous vehicles faces substantial technical and regulatory challenges.",UNCERTAIN,Technology,0.62
"Facial recognition technology misidentifies minorities","NIST testing found significant performance disparities across demographic groups in facial recognition algorithms, with higher error rates for darker-skinned individuals.",TRUE,Technology,0.93
"Blockchain is the solution to all data integrity problems","While blockchain offers certain tamper-resistance properties, it is not universally superior to traditional databases and has significant scaling and efficiency limitations.",FALSE,Technology,0.88
"Tech monopolies stifle innovation","Economic research on platform market dynamics shows mixed evidence; some studies find incumbents acquire and suppress rivals while others find continued market dynamism.",UNCERTAIN,Technology,0.65
"Social media companies profit from teen addiction","Internal documents and whistleblower testimony from Facebook indicate awareness of addictive design patterns in Instagram targeting younger users.",TRUE,Social Media,0.89
"Cybersecurity professionals are in high demand","US Bureau of Labor Statistics projects information security analyst jobs to grow much faster than average through 2031.",TRUE,Cybersecurity,0.95
"Most data breaches involve human error","IBM and Verizon annual reports consistently find human factors involved in a majority of data breaches.",TRUE,Cybersecurity,0.93
"End-to-end encryption protects privacy","Properly implemented end-to-end encryption prevents third parties including service providers from reading message content.",TRUE,Technology,0.92
"The dark web is primarily used for crime","While illicit markets operate on dark web networks, research shows substantial legitimate use for privacy, journalism, and circumventing censorship.",UNCERTAIN,Cybersecurity,0.62
"Global internet censorship is increasing","Freedom House's Freedom on the Net report documents increasing internet restrictions in authoritarian and some democratic countries.",TRUE,Politics,0.92
"China has the most internet users","ITU data confirms China has the world's largest online population.",TRUE,Technology,0.96
"Remote work increases productivity","Research on remote work shows mixed results; some studies show productivity gains while others show losses depending on role type, home environment, and management.",UNCERTAIN,Finance,0.62
"Income inequality is rising globally","World Inequality Lab and Oxfam reports using tax data and surveys document increasing income and wealth concentration in most economies.",TRUE,Finance,0.91
"Minimum wage increases cause unemployment","Economic research on minimum wage effects is contested; studies show some negative employment effects in certain sectors while others find minimal impact.",UNCERTAIN,Finance,0.58
"Universal healthcare would reduce US costs","Comparative international data and economic modeling studies show mixed conclusions on whether single-payer would reduce overall US healthcare costs.",UNCERTAIN,Finance,0.62
"Free trade increases global prosperity","Mainstream economics supports free trade benefits for aggregate GDP, though distributional effects on workers in affected industries can be significantly negative.",UNCERTAIN,Finance,0.68
"US national debt threatens economic stability","Economists debate debt threshold risks; while large debt levels create risks, the US dollar's reserve currency status provides significant mitigation.",UNCERTAIN,Finance,0.62
"Inflation reduces purchasing power","By definition inflation represents the rate at which currency purchasing power declines over time.",TRUE,Finance,0.99
"ESG investing sacrifices returns","Research on ESG fund performance shows mixed results compared to conventional funds, with methodological challenges in attribution.",UNCERTAIN,Finance,0.62
"Real estate is always a good investment","While real estate has historically appreciated, outcomes vary significantly by location, timing, leverage, and management. Guaranteed returns are not supported by evidence.",UNCERTAIN,Finance,0.60
"Private equity firms improve company performance","Academic research on private equity portfolio company performance shows mixed results on productivity and employment, with strong returns to investors but some concerns about debt loading.",UNCERTAIN,Finance,0.62
"Immigration grows the economy","Mainstream economic research finds immigration generally has positive macroeconomic effects through labor supply, entrepreneurship, and innovation.",TRUE,Finance,0.85
"Automation is causing wage stagnation","Economic research finds some association between automation and wage pressure in routine task occupations, contributing to widening wage inequality.",TRUE,Finance,0.82
"The global middle class is shrinking","World Bank data actually shows significant growth of the global middle class over past decades, though gains are unevenly distributed.",FALSE,Finance,0.85
"Circular economy practices reduce waste","Life cycle analyses of circular economy business models show significant material and energy efficiency gains versus linear production models.",TRUE,Science,0.88
"Vertical farming can feed cities","Research on controlled environment agriculture shows high yields per square foot but energy costs and protein crop limitations remain significant challenges.",UNCERTAIN,Science,0.65
"Rewilding restores ecosystems","Ecological studies of rewilding projects in Europe and elsewhere show significant biodiversity recovery in targeted areas.",TRUE,Science,0.88
"Carbon capture technology can solve climate change","Current carbon capture technology exists but operates at insufficient scale and with high energy costs to constitute a complete climate solution.",UNCERTAIN,Science,0.65
"The Great Barrier Reef is dying","Australian Institute of Marine Science monitoring shows severe bleaching events driven by warming temperatures have significantly damaged portions of the Great Barrier Reef.",TRUE,Science,0.93
"Bee populations are declining","USDA and independent monitoring programs document significant honey bee colony losses and wild bee species population declines.",TRUE,Science,0.93
"Soil depletion threatens food security","FAO reports that agricultural soil degradation is advancing faster than natural regeneration in many regions, threatening long-term crop yields.",TRUE,Science,0.91
"Desalination can solve water scarcity","While desalination technology is expanding, high energy costs, brine disposal, and geographic limitations prevent it from being a universal solution.",UNCERTAIN,Science,0.65
"Weather modification technology exists","Cloud seeding technology exists and is used in various countries. Claims of large-scale weather control beyond precipitation enhancement are not scientifically supported.",UNCERTAIN,Science,0.65
"Tidal energy is underutilized","Tidal and wave energy technologies exist with significant theoretical potential but face cost and technology maturity barriers relative to solar and wind.",UNCERTAIN,Science,0.65
"The US government has evidence of UFO/UAP","US Congressional testimony and DNI reports confirm the government has documented Unidentified Aerial Phenomena incidents without confirmed explanation.",UNCERTAIN,Politics,0.65
"Area 51 contains alien technology","No credible evidence of extraterrestrial technology at Area 51. The facility is known to have been used for classified aircraft testing.",FALSE,Politics,0.95
"Chemtrails are government chemical spraying","Atmospheric scientists have explained contrails as water vapor condensation. No credible evidence of deliberate chemical spraying programs.",FALSE,Science,0.97
"HAARP controls weather","HAARP is a legitimate ionospheric research program. No credible scientific evidence supports weather control capability.",FALSE,Science,0.97
"Secret societies control governments","While influential networks and organizations exist, no credible evidence supports a unified secret society with governmental control.",FALSE,Politics,0.96
"The UN is planning a global government","No credible documentary evidence supports plans for UN replacement of national governments. Sovereignty remains the foundation of international law.",FALSE,Politics,0.96
"NATO expansion provoked Russian aggression","This is a contested geopolitical interpretation. Scholars debate whether NATO expansion was a significant factor in Russian decision-making versus domestic and imperial motivations.",UNCERTAIN,Politics,0.55
"China will surpass the US economically","IMF and World Bank projections show China's GDP on trajectories to potentially surpass US nominal GDP within decades, though outcomes are uncertain.",UNCERTAIN,Finance,0.65
"Russia hacked the 2016 US election","US Senate Intelligence Committee and Mueller investigation documented Russian interference including hacking and social media operations, though impact on outcome is disputed.",TRUE,Elections,0.90
"Cambridge Analytica influenced the Brexit vote","ICO and parliamentary investigations documented Facebook data misuse by Cambridge Analytica, though direct causal impact on the Brexit outcome is disputed.",UNCERTAIN,Elections,0.65
"Social media caused the Arab Spring","Social media platforms facilitated coordination and information spread, but underlying political and economic conditions were the primary drivers.",UNCERTAIN,Social Media,0.65
"Propaganda is more effective than ever","Research on computational propaganda shows increasing sophistication and scale of influence operations, though measuring effectiveness is methodologically challenging.",UNCERTAIN,Politics,0.62
"Democracy is in global decline","Freedom House and V-Dem datasets document a decline in democratic governance indicators across multiple countries over the past decade.",TRUE,Politics,0.90
"Authoritarianism is rising globally","Multiple political science tracking projects document increases in autocratic practices including press restrictions and judicial independence erosion.",TRUE,Politics,0.90
"Nuclear proliferation risk is increasing","Arms control experts cite erosion of nonproliferation frameworks and ongoing programs in North Korea and Iran as increasing proliferation risks.",TRUE,Politics,0.88
"Cybersecurity is now a domain of warfare","NATO, US, and other militaries formally recognize cyberspace as a domain of warfare, alongside land, sea, air, and space.",TRUE,Cybersecurity,0.95
"State-sponsored disinformation campaigns are common","Intelligence agencies and academic researchers have documented disinformation campaigns from Russia, China, Iran, and other state actors.",TRUE,Politics,0.93
"The WHO is controlled by China","China is one of many WHO member states. While Chinese influence is a concern raised by critics, WHO decisions involve 194 member states.",FALSE,Politics,0.85
"Ivermectin cures COVID-19","Multiple large randomized controlled trials including the TOGETHER trial found ivermectin did not show significant benefit for COVID-19 treatment.",FALSE,Health,0.96
"Natural immunity is superior to vaccine immunity","Evidence is mixed; natural infection produces strong immunity but with risks of severe disease. Vaccine immunity is safer. Hybrid immunity shows advantages.",UNCERTAIN,Health,0.65
"Myocarditis risk from vaccines is higher than from COVID","Data shows myocarditis risk from COVID-19 infection exceeds vaccine-associated myocarditis risk, particularly in older age groups.",FALSE,Health,0.88
"Vitamin D prevents COVID-19","While vitamin D deficiency is associated with worse COVID outcomes, clinical trials have not confirmed vitamin D supplementation as a COVID-19 prevention measure.",FALSE,Health,0.85
"mRNA vaccines can alter DNA","mRNA does not enter the cell nucleus where DNA is stored and cannot reverse transcribe into human DNA under normal cellular conditions.",FALSE,Health,0.99
"Long COVID affects millions","CDC and NIH estimate millions of Americans experience post-acute COVID symptoms including fatigue, brain fog, and cardiovascular effects.",TRUE,Health,0.93
